fielder,dismissals
K Khejroliya,1
V Puthur,1
DJ Malan,1
C Madan,1
S Sandeep Warrier,1
R Ninan,1
A Singh,1
PVSN Raju,1
TS Mills,1
F Behardien,1
B Laughlin,1
BR Sharath,1
UA Birla,1
Kumar Kushagra,1
NJ Maddinson,1
R Goyal,1
CA Ingram,1
OC McCoy,1
RG More,1
PV Tambe,1
O Thomas,1
S Midhun,1
