batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
Se Rutherford,397,310,20,128.06451612903226,305.51290322580644,4
Al Menaria,401,367,23,109.26430517711172,304.85286103542234,0
Mv Boucher,394,318,23,123.89937106918238,302.87987421383644,4
Rd Rickelton,388,266,14,145.86466165413535,302.172932330827,4
Azhar Mahmood,388,311,21,124.7588424437299,298.651768488746,4
Ca Pujara,390,403,22,96.7741935483871,294.5548387096774,0
Kr Mayers,379,276,13,137.31884057971016,294.0637681159421,4
A Mishra,381,440,55,86.5909090909091,289.5181818181818,0
Db Ravi Teja,375,325,25,115.38461538461537,288.0769230769231,0
R Powell,365,261,23,139.84674329501917,285.7693486590038,4
S Sohal,368,311,20,118.32797427652733,283.26559485530544,0
P Negi,365,301,35,121.26245847176081,283.25249169435216,4
Rahmanullah Gurbaz,363,283,18,128.26855123674912,281.55371024734984,4
Kv Sharma,352,307,40,114.65798045602607,273.3315960912052,0
Dj Mitchell,351,274,15,128.1021897810219,272.8204379562044,4
R Bhatia,342,290,47,117.9310344827586,267.6862068965517,4
P Kumar,340,323,57,105.26315789473684,264.75263157894733,0
Ap Tare,339,285,27,118.94736842105263,263.7894736842105,0
Sn Thakur,325,243,40,133.7448559670782,258.2489711934156,4
Rn Ten Doeschate,326,238,21,136.9747899159664,257.69495798319326,4
Jec Franklin,327,309,16,105.8252427184466,251.6650485436893,0
B Kumar,320,364,71,87.91208791208791,248.68241758241757,0
Anuj Rawat,318,276,21,115.21739130434783,247.74347826086955,0
R Vinay Kumar,310,289,42,107.26643598615917,242.65328719723183,0
C De Grandhomme,303,229,21,132.31441048034935,240.66288209606986,4
Db Das,304,267,22,113.85767790262172,237.7715355805243,0
La Pomersbach,302,251,16,120.3187250996016,237.06374501992028,0
Lalit Yadav,305,301,21,101.32890365448506,235.865780730897,0
Djg Sammy,295,251,20,117.52988047808766,232.00597609561754,0
Ubt Chand,300,314,20,95.54140127388536,231.10828025477707,0
A Manohar,292,243,20,120.16460905349795,230.43292181069955,0
Jp Inglis,278,177,11,157.06214689265536,227.11242937853106,4
A Ashish Reddy,280,196,23,142.85714285714286,226.8714285714286,4
Sp Goswami,293,307,21,95.43973941368078,226.28794788273615,0
Mj Lumb,278,198,12,140.4040404040404,223.88080808080807,4
Pbb Rajapaksa,277,201,13,137.81094527363186,222.76218905472638,4
Y Nagar,285,271,20,105.1660516605166,222.53321033210332,0
Vvs Laxman,282,271,20,104.0590405904059,220.21180811808117,0
B Chipli,280,256,21,109.375,219.975,0
Mj Guptill,271,197,13,137.56345177664974,218.51269035532994,4
Gh Vihari,284,331,23,85.80060422960725,218.26012084592145,0
V Suryavanshi,252,129,7,195.3488372093023,216.16976744186042,4
Hv Patel,270,241,41,112.03319502074689,215.50663900414938,0
Pk Garg,273,247,19,110.5263157894737,215.10526315789474,0
Jc Archer,262,183,30,143.16939890710384,215.03387978142075,4
R Sathish,270,236,24,114.40677966101696,214.2813559322034,0
Atharva Taide,260,188,10,138.29787234042556,210.6595744680851,4
Jo Holder,259,217,27,119.35483870967742,207.87096774193546,0
K Gowtham,247,159,27,155.34591194968556,206.66918238993708,4
A Mhatre,240,131,7,183.206106870229,205.3412213740458,4
M Kaif,259,258,22,100.3875968992248,203.57751937984494,0
Bcj Cutting,238,146,17,163.013698630137,200.9027397260274,4
Aniket Verma,236,148,12,159.45945945945945,198.29189189189188,4
Harpreet Brar,244,214,26,114.01869158878503,196.203738317757,0
Sm Katich,241,191,11,126.17801047120419,195.03560209424083,0
Md Mishra,237,213,17,111.26760563380283,189.85352112676054,0
Mohammad Nabi,221,157,19,140.76433121019107,184.7528662420382,4
Ramandeep Singh,217,142,20,152.8169014084507,184.46338028169012,4
K Rabada,215,216,30,99.53703703703704,173.40740740740742,0
Aa Jhunjhunwala,217,218,15,99.54128440366972,173.30825688073392,0
K Goel,218,239,16,91.21338912133892,172.44267782426778,0
R Dhawan,210,188,22,111.70212765957446,171.54042553191488,0
R Shepherd,185,93,12,198.9247311827957,170.48494623655913,4
Ut Yadav,208,211,48,98.5781990521327,170.11563981042656,0
Pd Collingwood,203,159,7,127.67295597484276,168.33459119496854,0
Ca Ingram,205,183,15,112.02185792349727,167.40437158469945,0
Ks Bharat,199,168,8,118.45238095238095,163.79047619047617,0
Jd Unadkat,197,170,27,115.88235294117648,163.77647058823527,0
Bipul Sharma,187,124,17,150.80645161290323,162.76129032258063,4
Bj Rohrer,193,146,8,132.1917808219178,162.33835616438358,4
Kuldeep Yadav,201,240,37,83.75,161.14999999999998,0
Sp Fleming,196,171,10,114.61988304093566,161.12397660818712,0
As Raut,194,172,16,112.79069767441861,159.9581395348837,0
Sk Warne,198,219,27,90.41095890410958,159.3821917808219,0
Sd Hope,183,125,9,146.4,158.28,4
Cr Brathwaite,181,120,14,150.83333333333334,158.26666666666668,4
Salman Butt,193,172,7,112.20930232558139,158.24186046511625,0
Hc Brook,190,159,11,119.49685534591194,157.9993710691824,0
Yv Takawale,192,183,10,104.91803278688525,156.38360655737702,0
Mf Maharoof,177,124,14,142.74193548387098,153.8483870967742,4
Sikandar Raza,182,143,9,127.27272727272727,153.75454545454545,0
Ac Voges,181,143,7,126.57342657342659,152.7146853146853,0
Fy Fazal,183,179,11,102.23463687150837,149.64692737430167,0
C Munro,177,144,11,122.91666666666667,149.58333333333331,0
