bowler,balls_bowled,wickets_taken,runs_conceded,matches_played
Ac Gilchrist,1,1,0,1
Li Meriwala,19,1,32,1
Naman Dhir,53,1,76,5
Ac Voges,56,1,76,7
Db Ravi Teja,18,1,28,2
Ic Porel,26,1,42,1
S Vidyut,13,1,22,1
Dj Mitchell,51,1,97,4
D Salunkhe,51,1,80,5
Djm Short,18,1,23,2
Se Rutherford,46,1,60,6
Mashrafe Mortaza,28,1,59,1
Sb Joshi,55,1,82,4
Mk Tiwary,45,1,83,6
Lmp Simmons,18,1,34,1
Shashank Singh,31,1,52,4
M Shahrukh Khan,18,1,29,3
Rg More,37,1,63,2
Sa Abbott,59,1,104,3
Rr Bhatkal,12,0,35,1
Vivrant Sharma,21,0,37,2
C Ganapathy,6,0,13,1
Nl Mccullum,30,0,35,2
Mb Parmar,19,0,33,1
B Chipli,6,0,20,1
Arshad Khan (2),13,0,25,1
S Joseph,30,0,51,1
Dj Harris,18,0,26,2
Mj Suthar,12,0,26,1
Gulbadin Naib,6,0,12,1
Mandeep Singh,12,0,26,2
S Midhun,13,0,29,1
Nj Rimmington,18,0,20,1
Bj Rohrer,7,0,12,1
Vs Yeligati,32,0,61,2
Je Root,12,0,15,1
Gurnoor Brar,21,0,42,1
Jalaj S Saxena,18,0,27,1
Ishan Kishan,1,0,4,1
I Malhotra,6,0,23,1
J Overton,41,0,84,3
A Dananjaya,25,0,47,1
C Munro,12,0,15,2
Ybk Jaiswal,1,0,6,1
P Prasanth,6,0,18,1
P Ray Barman,24,0,56,1
Rr Bose,12,0,24,1
As Raut,30,0,45,5
Mg Neser,25,0,62,1
Cj Dala,19,0,34,1
Y Gnaneswara Rao,6,0,7,1
Cj Green,17,0,24,1
Rv Patel,20,0,22,1
H Sharma,30,0,62,2
Rw Price,18,0,33,1
S Rana,16,0,18,3
Abdur Razzak,14,0,29,1
Atharva Taide,1,0,4,1
K Goel,67,0,94,6
M Vijay,37,0,49,4
Da Warner,2,0,2,1
Ss Iyer,6,0,7,1
Rs Gavaskar,6,0,8,1
M Manhas,42,0,42,3
Sr Tendulkar,37,0,59,4
Spd Smith,2,0,5,1
Ks Williamson,18,0,31,2
Mohit Rathee,12,0,29,1
Sn Khan,2,0,6,1
R Ravindra,12,0,7,2
R Sanjay Yadav,14,0,23,1
F Du Plessis,6,0,16,1
Ra Tripathi,6,0,12,1
Lrpl Taylor,13,0,24,2
Lpc Silva,6,0,21,1
Aman Hakim Khan,6,0,13,1
Monu Kumar,16,0,20,1
Auk Pathan,41,0,63,3
Sumit Kumar,22,0,38,2
Sunny Gupta,19,0,47,1
Tejas Baroka,21,0,33,1
M Tiwari,6,0,14,1
Pwa Mulder,6,0,16,1
Ra Shaikh,6,0,11,1
K Upadhyay,56,0,81,3
Ck Kapugedera,17,0,49,3
Tilak Varma,23,0,28,4
S Sriram,18,0,49,2
Kaj Roach,52,0,80,2
Suryansh Shedge,19,0,40,1
Na Saini,15,0,35,1
R Goyal,24,0,34,1
Sa Yadav,6,0,8,1
Sz Mulani,33,0,57,2
Karim Janat,6,0,30,1
N Wadhera,17,0,22,2
Mw Short,25,0,25,3
Kr Mayers,46,0,59,6
