batter,run_stddev
Rs Sodhi,
S Kaushik,
S Lamichhane,
S Randiv,
S Tyagi,
Sd Lad,
Se Bond,
Sediqullah Atal,
Shivam Singh,
Shoaib Akhtar,
Ss Cottrell,
Ss Shaikh,
Sunny Gupta,
Sz Mulani,
T Shamsi,
Tanush Kotian,
U Kaul,
Ua Birla,
V Pratap Singh,
V Viyaskanth,
Vivrant Sharma,
Vs Yeligati,
X Thalaivan Sargunam,
Xc Bartlett,
Y Gnaneswara Rao,
Y Prithvi Raj,
Ya Abdulla,
Younis Khan,
